Date,Holiday_Name,Holiday_Type,_dq_rejection_reason,Date_Parsed
2023-01-06T00:00:00Z,Duruthu Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-01-06 00:00:00+00:00
2023-01-15T00:00:00Z,Tamil Thai Pongal Day,Mercantile,Exact duplicate holiday record,2023-01-15 00:00:00+00:00
2023-01-16T00:00:00Z,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Mercantile,Exact duplicate holiday record,2023-01-16 00:00:00+00:00
2023-02-03T00:00:00Z,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Mercantile,Exact duplicate holiday record,2023-02-03 00:00:00+00:00
2023-02-04T00:00:00Z,National Day,Mercantile,Exact duplicate holiday record,2023-02-04 00:00:00+00:00
2023-02-05T00:00:00Z,Navam Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-02-05 00:00:00+00:00
2023-03-06T00:00:00Z,Medin Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-03-06 00:00:00+00:00
2023-04-05T00:00:00Z,Bak Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-04-05 00:00:00+00:00
2023-04-07T00:00:00Z,Good Friday,Mercantile,Exact duplicate holiday record,2023-04-07 00:00:00+00:00
2023-04-13T00:00:00Z,Day Prior to Sinhala and Tamil New Year Day,Mercantile,Exact duplicate holiday record,2023-04-13 00:00:00+00:00
2023-04-14T00:00:00Z,Sinhala and Tamil New Year Day,Mercantile,Exact duplicate holiday record,2023-04-14 00:00:00+00:00
2023-05-01T00:00:00Z,Labour Day,Mercantile,Exact duplicate holiday record,2023-05-01 00:00:00+00:00
2023-05-04T00:00:00Z,Additional Half Holiday in lieu of Day following Vesak Full Moon Poya Day falling on Saturday,Mercantile,Exact duplicate holiday record,2023-05-04 00:00:00+00:00
2023-05-05T00:00:00Z,Vesak Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-05-05 00:00:00+00:00
2023-05-06T00:00:00Z,Day after Vesak Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-05-06 00:00:00+00:00
2023-06-03T00:00:00Z,Poson Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-06-03 00:00:00+00:00
2023-07-03T00:00:00Z,Adi Esala Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-07-03 00:00:00+00:00
2023-08-01T00:00:00Z,Esala Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-08-01 00:00:00+00:00
2023-08-30T00:00:00Z,Nikini Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-08-30 00:00:00+00:00
2023-09-28T00:00:00Z,Holy Prophet's Birthday,Mercantile,Exact duplicate holiday record,2023-09-28 00:00:00+00:00
2023-09-29T00:00:00Z,Binara Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-09-29 00:00:00+00:00
2023-10-28T00:00:00Z,Vap Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-10-28 00:00:00+00:00
2023-11-26T00:00:00Z,Il Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-11-26 00:00:00+00:00
2023-12-25T00:00:00Z,Christmas Day,Mercantile,Exact duplicate holiday record,2023-12-25 00:00:00+00:00
2023-12-26T00:00:00Z,Unduvap Full Moon Poya Day,Mercantile,Exact duplicate holiday record,2023-12-26 00:00:00+00:00
2025-02-12T00:00:00Z,Navam Full Moon Poya Day,Poya Day,Exact duplicate holiday record,2025-02-12 00:00:00+00:00
2025-08-10T00:00:00Z,Nikini Full Moon Poya Day,Poya Day,Exact duplicate holiday record,2025-08-10 00:00:00+00:00
